         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      175    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
      403    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1216(find_loader)
     1087    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.000    0.000    0.000    0.000 summary_pb2.py:4(<module>)
     1866    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
       22    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
      835    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1490    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
       71    0.000    0.000    0.001    0.000 tokenize.py:355(detect_encoding)
       93    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 feature_pb2.py:4(<module>)
        1    0.000    0.000    0.000    0.000 tfprof_output_pb2.py:4(<module>)
      106    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
     2619    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
      138    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       32    0.000    0.000    0.000    0.000 inspect.py:614(cleandoc)
      514    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.001    0.001 generic.py:97(NDFrame)
      172    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
        1    0.000    0.000    0.109    0.109 standard_ops.py:17(<module>)
       26    0.000    0.000    0.021    0.001 op_def_library.py:280(add_op_list)
     2346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
       40    0.000    0.000    0.000    0.000 enum_type_wrapper.py:80(<listcomp>)
     2211    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        7    0.000    0.000    0.000    0.000 _make.py:535(_create_slots_class)
      405    0.000    0.000    0.000    0.000 warnings.py:428(__init__)
       19    0.000    0.000    0.002    0.000 _make.py:1036(_make_cmp)
      410    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       53    0.000    0.000    0.014    0.000 pyparsing.py:2779(__init__)
       51    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
      601    0.000    0.000    0.000    0.000 _decorators.py:176(__init__)
     1003    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
  196/142    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
      408    0.000    0.000    0.000    0.000 __init__.py:1528(getEffectiveLevel)
      260    0.000    0.000    0.000    0.000 posixpath.py:62(isabs)
      668    0.000    0.000    0.001    0.000 __init__.py:422(<genexpr>)
      339    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f5be3009048}
      109    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       68    0.000    0.000    0.002    0.000 ops.py:1171(_arith_method_FRAME)
      375    0.000    0.000    0.001    0.000 __init__.py:1317(safe_name)
      126    0.000    0.000    0.000    0.000 expr.py:152(<genexpr>)
       50    0.000    0.000    0.003    0.000 pyparsing.py:1039(_trim_arity)
       72    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
     2115    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.004    0.001 __init__.py:905(__init__)
      892    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 step_stats_pb2.py:4(<module>)
      668    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
      946    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       17    0.000    0.000    0.002    0.000 _make.py:1216(_make_init)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
      389    0.000    0.000    0.001    0.000 re.py:169(match)
        1    0.000    0.000    0.000    0.000 op_def_pb2.py:4(<module>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3390(__init__)
      316    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
      414    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.001    0.001 attr_value_pb2.py:4(<module>)
    78/14    0.000    0.000    0.002    0.000 pyparsing.py:3426(parseImpl)
     2621    0.000    0.000    0.000    0.000 inspect.py:358(<lambda>)
        1    0.000    0.000    0.000    0.000 tfprof_options_pb2.py:4(<module>)
      244    0.000    0.000    0.000    0.000 ops.py:1775(__init__)
       79    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
      193    0.000    0.000    0.003    0.000 __init__.py:1406(has_metadata)
        1    0.000    0.000    0.000    0.000 event_pb2.py:4(<module>)
       82    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.array}
